TRANSACTION_DATE,AGENCY_NAME,MERCHANT_NAME,TRANSACTION_AMOUNT,Month,DayOfWeek,AGENCY_CODE,MERCHANT_CODE,Anomaly
2013-07-30,OKLAHOMA STATE UNIVERSITY,SALIMETRICS LLC,4800.0,7,1,84,67312,-1
2013-07-29,OKLAHOMA STATE UNIVERSITY,SONEX ONLINE,4488.84,7,0,84,68855,-1
2013-07-27,OKLAHOMA STATE UNIVERSITY,FISHER SCI HUS,4362.8,7,5,84,40704,-1
2013-07-26,OKLAHOMA STATE UNIVERSITY,WWW.NEWEGG.COM,4546.61,7,4,84,86335,-1
2013-07-29,OKLAHOMA STATE UNIVERSITY,ALTECARE INC.,2486.5,7,0,84,7925,-1
2013-07-29,OKLAHOMA STATE UNIVERSITY,AMERICAN CONCRETE INSTIT,3307.5,7,0,84,19358,-1
2013-07-29,OKLAHOMA STATE UNIVERSITY,HOBART SERVICE,3570.0,7,0,84,43541,-1
2013-07-26,OKLAHOMA STATE UNIVERSITY,BioQuip Products Inc,4533.4,7,4,84,23139,-1
2013-07-30,OKLAHOMA STATE UNIVERSITY,STYLESIGHT,5000.0,7,1,84,76578,-1
2013-07-30,OKLAHOMA STATE UNIVERSITY,VITAL SMARTS,4826.3,7,1,84,84803,-1
2013-07-30,OKLAHOMA STATE UNIVERSITY,CCNA,3927.19,7,1,84,23737,-1
2013-07-08,OKLAHOMA STATE UNIVERSITY,CONVENTIONS AND MORE,4165.2,7,0,84,25293,-1
2013-07-03,OKLAHOMA STATE UNIVERSITY,CAMELBACK DISPLAYS,4911.77,7,2,84,23333,-1
2013-07-09,OKLAHOMA STATE UNIVERSITY,ABERDEEN,4438.0,7,1,84,656,-1
2013-07-01,OKLAHOMA STATE UNIVERSITY,ABSOLUTE ALL SPORTS,2805.73,7,0,84,686,-1
2013-07-09,OKLAHOMA STATE UNIVERSITY,UNITED REFRIG BR #89,4455.0,7,1,84,83001,-1
2013-07-01,OKLAHOMA STATE UNIVERSITY,B&C BUSINESS PRODUCTS,3512.0,7,0,84,21174,-1
2013-07-08,OKLAHOMA STATE UNIVERSITY,TUCKER TESTING SERVICE,3780.0,7,0,84,79349,-1
2013-07-01,OKLAHOMA STATE UNIVERSITY,BEDS AND BARS,3104.17,7,0,84,21539,-1
2013-07-09,OKLAHOMA STATE UNIVERSITY,AP BOOKSTORE.COM,4753.7,7,1,84,19844,-1
2013-07-15,OKLAHOMA STATE UNIVERSITY,NASA CATERING 30550511,3871.45,7,0,84,56296,-1
2013-07-11,OKLAHOMA STATE UNIVERSITY,SECURADYNE SYSTEMS TEX,4999.96,7,3,84,67735,-1
2013-07-15,OKLAHOMA STATE UNIVERSITY,AMERICAN INST OF STEEL,4500.0,7,0,84,19428,-1
2013-07-11,OKLAHOMA STATE UNIVERSITY,XPEDX-INTL PAPER,4672.5,7,3,84,86466,-1
2013-07-12,OKLAHOMA STATE UNIVERSITY,1800ENDOSCOPE.COM,2499.0,7,4,84,55,-1
2013-07-14,OKLAHOMA STATE UNIVERSITY,AACRAO EXPERIENT,575.0,7,6,84,542,-1
2013-07-14,OKLAHOMA STATE UNIVERSITY,AACRAO EXPERIENT,695.0,7,6,84,542,-1
2013-07-10,OKLAHOMA STATE UNIVERSITY,DIVERSITY D INC,4760.23,7,2,84,29796,-1
2013-07-11,OKLAHOMA STATE UNIVERSITY,DIVERSITY D INC,4774.4,7,3,84,29796,-1
2013-07-11,OKLAHOMA STATE UNIVERSITY,PFG PROFORMA,4860.0,7,3,84,64659,-1
2013-07-15,OKLAHOMA STATE UNIVERSITY,QUALTRICS,4990.0,7,0,84,65957,-1
2013-07-17,OKLAHOMA STATE UNIVERSITY,GOOGLE  JBI Scientific,4952.54,7,2,84,42226,-1
2013-07-17,OKLAHOMA STATE UNIVERSITY,UM CITI PROGRAM,5000.0,7,2,84,79713,-1
2013-07-16,OKLAHOMA STATE UNIVERSITY,STILLWATER MILLING COMP,4720.0,7,1,84,76457,-1
2013-07-12,OKLAHOMA STATE UNIVERSITY,SMITH DRYDEN,4924.22,7,4,84,68682,-1
2013-07-24,OKLAHOMA STATE UNIVERSITY,DOUBLE D. FAMILY MAT SHOP,4752.0,7,2,84,30120,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,DASSAULT SYSTEMES SA,3666.42,7,0,84,26330,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,ACCENT DISPLAY &GRAPHI,2418.0,7,0,84,736,-1
2013-07-18,OKLAHOMA STATE UNIVERSITY,AASHTO   HEADQUARTERS,5000.0,7,3,84,604,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,"HYDRONIC SYSTEMS, INC",4035.0,7,0,84,44252,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,SIMPLEX GRINNELL WEB P,4300.32,7,0,84,68548,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,THE LEE COMPANY,4550.34,7,0,84,78174,-1
